Ensembl ID	Gene
ENSMUST00000047357	Cpsf2
ENSMUST00000067284	Cpsf3
ENSMUST00000176670	Cpsf6
ENSMUST00000176686	Cpsf6
ENSMUST00000069168	Cpsf6
ENSMUST00000038379	Cpsf7
ENSMUST00000025835	Cpt1a
ENSMUST00000030950	Cptp
ENSMUST00000194111	Cr1l
ENSMUST00000075451	Cr1l
ENSMUST00000193094	Cr1l
ENSMUST00000073337	Cramp1l
ENSMUST00000113239	Crbn
ENSMUST00000026608	Crcp
ENSMUST00000087366	Creb1
ENSMUST00000023165	Crebbp
ENSMUST00000046303	Crebl2
ENSMUST00000061767	Crebzf
ENSMUST00000024042	Creld2
ENSMUST00000024959	Cript
ENSMUST00000108425	Crk
ENSMUST00000017920	Crk
ENSMUST00000006293	Crkl
ENSMUST00000001818	Crnkl1
ENSMUST00000003720	Crot
ENSMUST00000122255	Crtc3
ENSMUST00000020227	Cry1
ENSMUST00000144877	Cryzl1
ENSMUST00000073466	Cryzl1
ENSMUST00000114023	Cryzl1
ENSMUST00000002790	Cse1l
ENSMUST00000165123	Csnk1a1
ENSMUST00000165721	Csnk1a1
ENSMUST00000018274	Csnk1d
ENSMUST00000070575	Csnk1d
ENSMUST00000034949	Csnk1g1
ENSMUST00000079773	Csnk1g2
ENSMUST00000085435	Csnk1g2
ENSMUST00000069597	Csnk1g3
ENSMUST00000099224	Csnk2a1
ENSMUST00000056919	Csnk2a2
ENSMUST00000025246	Csnk2b
ENSMUST00000116375	Cstf1
ENSMUST00000033609	Cstf2
ENSMUST00000066039	Cstf2t
ENSMUST00000028599	Cstf3
ENSMUST00000202868	Ctbp1
ENSMUST00000079746	Ctbp1
ENSMUST00000202962	Ctbp1
ENSMUST00000005841	Ctcf
ENSMUST00000108593	Ctdnep1
ENSMUST00000036229	Ctdp1
ENSMUST00000178812	Ctnnb1
ENSMUST00000029178	Ctnnbl1
ENSMUST00000006103	Ctns
ENSMUST00000112300	Ctps2
ENSMUST00000005749	Ctr9
ENSMUST00000116412	Ctu2
ENSMUST00000167861	Cuedc2
ENSMUST00000051234	Cuedc2
ENSMUST00000031697	Cul1
ENSMUST00000163119	Cul3
ENSMUST00000164108	Cul3
ENSMUST00000115118	Cul4b
ENSMUST00000025027	Cuta
ENSMUST00000114935	Cuta
ENSMUST00000004097	Cux1
ENSMUST00000004200	Cwc15
ENSMUST00000026218	Cwf19l1
ENSMUST00000027027	Cwf19l2
ENSMUST00000025444	Cxxc1
ENSMUST00000195235	Cyb561d2
ENSMUST00000034400	Cyb5b
ENSMUST00000168529	Cyb5r4
ENSMUST00000176274	Cyhr1
ENSMUST00000081291	Cyhr1
ENSMUST00000211783	Cyth2
ENSMUST00000055792	D030056L22Rik
ENSMUST00000062753	D030056L22Rik
ENSMUST00000114859	D17Wsu92e
ENSMUST00000114863	D17Wsu92e
ENSMUST00000149927	D1Ertd622e
ENSMUST00000053033	D1Ertd622e
ENSMUST00000034361	D230025D16Rik
ENSMUST00000097633	D2hgdh
ENSMUST00000031091	D5Ertd579e
ENSMUST00000140653	D5Ertd579e
ENSMUST00000022781	Dad1
ENSMUST00000019183	Dalrd3
ENSMUST00000173135	Dap3
ENSMUST00000107491	Dap3
ENSMUST00000090938	Dap3
ENSMUST00000027602	Dars
ENSMUST00000156935	Dazap1
ENSMUST00000092305	Dazap1
ENSMUST00000000356	Dazap2
ENSMUST00000102928	Dbnl
ENSMUST00000109845	Dbnl
ENSMUST00000066650	Dbr1
ENSMUST00000030145	Dcaf12
ENSMUST00000201446	Dcaf13
ENSMUST00000022909	Dcaf13
ENSMUST00000041367	Dcaf15
ENSMUST00000054145	Dcaf5
ENSMUST00000058438	Dcaf7
ENSMUST00000191689	Dcaf8
ENSMUST00000074144	Dcaf8
ENSMUST00000021313	Dcakd
ENSMUST00000022535	Dcp1a
ENSMUST00000025350	Dcp2
ENSMUST00000026479	Dctn2
ENSMUST00000030158	Dctn3
ENSMUST00000025505	Dctn4
ENSMUST00000033156	Dctn5
ENSMUST00000035276	Dctpp1
ENSMUST00000059851	Dcun1d3
ENSMUST00000025649	Ddb1
ENSMUST00000033975	Ddhd2
ENSMUST00000030538	Ddost
