DEG ID	Gene Name
DEG20010965	RPB2
DEG20010966	PUP1
DEG20010967	SME1
DEG20010968	MTR10
DEG20010969	GLN4
DEG20010970	MED4
DEG20010971	HEM15
DEG20010972	LAS17
DEG20010973	TOA1
DEG20010974	DED1
DEG20010975	NOC2
DEG20010976	RET1
DEG20010977	RPB10
DEG20010978	RFC1
DEG20010979	RPB8
DEG20010980	WTM2
DEG20010981	MGE1
DEG20010982	KIN4
DEG20010983	DFR1
DEG20010984	ESA1
DEG20010985	APC5
DEG20010986	CLP1
DEG20010987	SEC63
DEG20010988	TRE2
DEG20010989	CDC31
DEG20010990	RPT4
DEG20010991	GCD1
DEG20010992	RPN8
DEG20010993	YOR262W
DEG20010994	FSF1
DEG20010995	YTM1
DEG20010996	HEM4
DEG20010997	PLP2
DEG20010998	YOR287C
DEG20010999	RRS1
DEG20011000	NOP58
DEG20011001	HSH49
DEG20011002	MYO2
DEG20011003	SCD5
DEG20011004	ALA1
DEG20011005	KRE5
DEG20011006	RPA43
DEG20011007	RPA190
DEG20011008	SOG2
DEG20011009	PRT1
DEG20011010	PRE10
DEG20011011	MRS6
DEG20011012	NDD1
DEG20011013	NUD1
DEG20011014	TFC8
DEG20011015	RET3
DEG20011016	TAF3
DEG20011017	RRP12
DEG20011018	SWI1
DEG20011019	ULP1
DEG20011020	ERG10
DEG20011021	NOP4
DEG20011022	TIM50
DEG20011023	GCR1
DEG20011024	GPI2
DEG20011025	MOT1
DEG20011026	SEN54
DEG20011027	SEC16
DEG20011028	NOG1
DEG20011029	SEC62
DEG20011030	IDI1
DEG20011031	TFB2
DEG20011032	SPC29
DEG20011033	NAN1
DEG20011034	TBF1
DEG20011035	RPL5
DEG20011036	GIP3
DEG20011037	RPL33A
DEG20011038	NOP53
DEG20011039	PRP46
DEG20011040	RAD53
DEG20011041	CDC60
DEG20011042	MEX67
DEG20011043	SPT14
DEG20011044	NAB3
DEG20011045	TPK2
DEG20011046	HRR25
DEG20011047	TYW1
DEG20011048	IPL1
DEG20011049	SRP72
DEG20011050	NIP7
DEG20011051	BMS1
DEG20011052	SAR1
DEG20011053	CET1
DEG20011054	FAS2
DEG20011055	NSL1
DEG20011056	RVB2
