ENST00000269967	Q96F63
ENST00000270142	P00441
ENST00000270176	Q96KG9-1
ENST00000270460	Q9Y6I3-2
ENST00000270517	Q9BQ95-1
ENST00000270586	P28072
ENST00000270625	P62280
ENST00000271373	O95563
ENST00000271526	Q92733
ENST00000271628	Q15427
ENST00000271690	O43768-2
ENST00000271764	P41214-1
ENST00000271843	O76095-1
ENST00000272065	P24666-1
ENST00000272067	P24666-2
ENST00000272102	P84077
ENST00000272217	Q96BM9
ENST00000272227	Q15084-1
ENST00000272274	P46778
ENST00000272317	P62979
ENST00000272348	P62308
ENST00000272418	P82675-1
ENST00000272438	Q6UWH6
ENST00000272444	O75319-3
ENST00000272930	Q969M7-1
ENST00000273047	P20339-1
ENST00000273062	Q9GZU7-1
ENST00000273130	Q9Y6G9
ENST00000273156	Q9BRL7-2
ENST00000273221	Q6DN90-1
ENST00000273223	F8W727
ENST00000273258	O75915
ENST00000273480	Q9UBF6-1
ENST00000273590	P57738
ENST00000273968	Q96I23
ENST00000274065	P61247
ENST00000274137	O75380
ENST00000274242	P61927
ENST00000274606	Q9NX24
ENST00000274712	Q96NC0
ENST00000274787	Q9BW72
ENST00000274811	Q7L0R7-1
ENST00000274813	P22033
ENST00000275036	Q15651-2
ENST00000275603	P40227-1
ENST00000275732	O75420
ENST00000276062	A0A8J8YU24
ENST00000276079	Q15233-1
ENST00000276390	P21281
ENST00000276569	Q9NVT9-1
ENST00000276585	Q9Y2Q9
ENST00000276682	B3KS98
ENST00000276689	Q9Y6M9
ENST00000278100	Q9P287-1
ENST00000278353	Q53GQ0-1
ENST00000278412	Q08945
ENST00000278422	Q9Y320-1
ENST00000278618	Q9NRN7-1
ENST00000278671	Q6IAA8
ENST00000279068	Q9BX40-1
ENST00000279146	O00170
ENST00000279242	Q13405
ENST00000279259	J3KN89
ENST00000279281	Q9UID3-1
ENST00000279394	Q9UL54-2
ENST00000280557	O43583
ENST00000280987	Q8N128-2
ENST00000281031	O95298-1
ENST00000281141	O75794
ENST00000281187	Q4G0F5
ENST00000281871	Q6NZ67
ENST00000282032	Q8N8R7
ENST00000282344	O75317
ENST00000282892	Q13503
ENST00000282999	P09132-2
ENST00000283027	P53384-1
ENST00000283131	O60264
ENST00000283179	A0A1X7SBS1
ENST00000283195	P49792
ENST00000283290	Q9NT62-1
ENST00000283534	Q8N6I4-2
ENST00000283632	Q9H871-1
ENST00000283646	P49247
ENST00000283882	Q9UEE9-1
ENST00000283943	Q14669-1
ENST00000284165	P61244-4
ENST00000284320	O94826
ENST00000284971	P18859-1
ENST00000285021	Q01831-1
ENST00000285071	Q8NFG4-1
ENST00000285243	Q6AI12
ENST00000285298	Q9Y2R5
ENST00000285737	Q86WA8-1
ENST00000285814	Q9BYG3
ENST00000286428	P61758-1
ENST00000286760	Q8TF30
ENST00000286953	P56378-1
ENST00000287022	P14927-1
ENST00000287038	P62888
ENST00000287218	Q9H8U3
ENST00000287468	Q9HAH7-2
ENST00000287600	O43924
ENST00000287667	Q15155
ENST00000287844	Q9UG63-1
ENST00000287859	Q5SWX8-1
ENST00000287957	Q8WUU5
ENST00000288266	Q9UKG1
ENST00000288532	Q5HYK3
ENST00000288607	Q9BT73
ENST00000288828	Q9Y4P8-1
ENST00000288937	Q9NRX2
ENST00000289228	P42025
ENST00000289371	O60841
ENST00000289382	Q9UKZ1
ENST00000289816	Q8N554-2
ENST00000290158	Q14974-1
ENST00000290231	Q9HCD5
ENST00000290291	Q9NZT2-1
ENST00000290299	P48047
ENST00000290330	Q96H20-2
ENST00000290541	P28070
ENST00000290649	Q9UKV5
ENST00000290949	P61421
ENST00000291295	P0DP25
ENST00000291386	Q9NP77-1
